slug,name,areaSlug,areaName,category,mediaType,address,tags,widthM,heightM,resolutionPx,operationHours,minMonthlyPriceKRW,sourcePages,needsReview,dataQualityNote
sinsa-h-station,신사역 사거리 H스테이션,dosan-daero,도산대로 프리미엄,large_billboard,대형 전광판,"서울시 서초구 강남대로 605, 휴먼타워",신사|가로수길|강남대로|도산대로|한남대교,10.8,19.6,1320 x 2400,06:00~24:00,12000000,19,False,
sinsa-syh-tower,신사역 사거리 SYH타워,dosan-daero,도산대로 프리미엄,large_billboard,대형 전광판,서울시 강남구 신사동 501-2,신사역사거리|가로수길|강남대로|한남대교|쇼핑,11.8,19.0,1248 x 1872,06:00~24:00,12000000,20,False,
sinsa-yk-tower,신사역 YK타워 유경빌딩,dosan-daero,도산대로 프리미엄,large_billboard,대형 전광판,서울시 강남구 도산대로 121,신사역|도산대로|가로수길|명품|프리미엄|미용병원,12.5,17.3,1248 x 1728,06:00~24:00,12000000,21,False,
sinsa-peyto,신사동 PEYTO 페이토,dosan-daero,도산대로 프리미엄,large_billboard,대형 전광판,서울시 강남구 도산대로 134,신사|강남|도산대로|가로수길|쇼핑|관광,13.1,14.0,1296 x 1376,06:00~24:00,12000000,22,False,
hakdong-ss-tower,학동사거리 S&S타워,dosan-daero,도산대로 프리미엄,large_billboard,대형 전광판,서울시 강남구 도산대로 409,강남|도산대로|학동사거리|청담|압구정|프리미엄,13.0,17.2,1280 x 1696,06:00~24:00,10000000,23,False,
dosan-sgf-cheongdam,도산대로 SGF청담타워,dosan-daero,도산대로 프리미엄,large_billboard,대형 전광판,서울시 강남구 도산대로 327,청담|압구정|영동대교|프리미엄|명품,11.4,19.6,1104 x 1920,06:00~24:00,10000000,24,False,
dosan-sb-tower,도산공원사거리 SB타워,dosan-daero,도산대로 프리미엄,large_billboard,대형 전광판,서울시 강남구 도산대로 318,강남|신사동|도산공원사거리|도산대로|명품,10.0,22.1,960 x 2170,06:00~24:00,15000000,25,False,20초 150회와 30초 100회가 같은 가격 영역에 병기되어 대표 조건으로 정리했습니다.
dosan-sun-and-vill,도산공원사거리 썬앤빌,dosan-daero,도산대로 프리미엄,large_billboard,대형 전광판,서울시 강남구 도산대로 225,강남|신사동|도산공원사거리|도산대로|명품,12.3,17.9,1216 x 1760,06:00~24:00,15000000,26,False,
dosan-sun-vill-hak-pkg,도산 현대썬앤빌 & 학빌딩 PKG,dosan-daero,도산대로 프리미엄,package,패키지,"서울시 강남구 도산대로 225, 239",도산대로|언주로|도산공원사거리|프리미엄|수입차,,,1216 x 1760 / 1280 x 768,06:00~24:00,20000000,27,False,
dosan-emporia,도산공원사거리 엠포리아빌딩,dosan-daero,도산대로 프리미엄,large_billboard,대형 전광판,서울시 강남구 도산대로 220,강남|논현동|도산공원사거리|수입차|프리미엄,12.4,18.2,1216 x 1792,06:00~24:00,12000000,28,False,
