slug,name,summary,dailyFootTraffic,trafficVolumeDaily,subwayMonthlyUsersSummary,recommendedIndustries,sourcePages,needsReview,busMonthlyUsersSummary,busDataSource
dosan-daero,도산대로 프리미엄,"압구정·청담 프리미엄 상권, 럭셔리 브랜드와 트렌디 소비층이 밀집된 핵심 소비 축",198092,36644,신사역 3호선 1610218; 신사역 신분당선 510832; 압구정역 3호선 1849720; 압구정로데오역 수인분당선 1278508; 청담역 1073922; 학동역 1278312; 강남구청역 959024,럭셔리|뷰티|패션|수입차|라이프스타일,7|18,False,신사역8번출구.가로수길 92010,서울시 버스노선별 정류장별 시간대별 승하차 인원 정보 2026년 5월
samseong-coex,삼성 코엑스,코엑스·전시장·몰 이용객이 상시 유입되는 MICE·비즈니스 복합 상권,291095,67576,삼성역 2호선 3157523; 봉은사역 9호선 1352987,테크|전시/문화|뷰티|패션|B2B 서비스,7|39,True,코엑스동문 31256; 봉은사.코엑스북문 15276; 봉은사.코엑스북문 11344,서울시 버스노선별 정류장별 시간대별 승하차 인원 정보 2026년 5월
gangnam-daero,강남역/강남대로,서울 유동인구 1위권의 업무·쇼핑·외식 핵심 상권,357552,,강남역 2호선 4621218,F&B|패션|테크|교육|금융,7|8,False,,서울시 버스노선별 정류장별 시간대별 승하차 인원 정보 2026년 5월
myeongdong-euljiro,명동/을지로입구,국내외 관광객과 쇼핑 수요가 집중되는 글로벌 리테일 상권,254317,,을지로입구역 2호선 2950044; 명동역 4호선 2286070,뷰티|패션|관광|리테일,7|8,False,,서울시 버스노선별 정류장별 시간대별 승하차 인원 정보 2026년 5월
gwanghwamun,광화문,관공서·대사관·글로벌 기업과 관광 동선이 겹치는 도심 관문,250960,,광화문역 5호선 2036564; 경복궁역 3호선 1633972,금융|공공캠페인|관광|기업 브랜딩,7|8,False,,서울시 버스노선별 정류장별 시간대별 승하차 인원 정보 2026년 5월
yeouido,여의도,금융·방송·공공기관이 집중된 서울 대표 업무지구,246276,,여의도역 5호선 1660652; 여의나루역 5호선 846298,금융|프리미엄 리테일|F&B|문화,7,False,더현대서울 80259,서울시 버스노선별 정류장별 시간대별 승하차 인원 정보 2026년 5월
hongdae,홍대,젊은 소비층과 외국인 관광객이 교차하는 문화·콘텐츠 상권,265796,,홍대입구역 2호선 4653439,패션|F&B|콘텐츠|공연|뷰티,7|8,True,홍익대학교 56241; 홍익대학교 18427; 상수역 7509,서울시 버스노선별 정류장별 시간대별 승하차 인원 정보 2026년 5월
seongsu,성수,카페거리·편집숍·팝업스토어가 밀집한 트렌드 선도 상권,167319,,성수역 2호선 3111902,뷰티|패션|라이프스타일|F&B,7|8,False,,서울시 버스노선별 정류장별 시간대별 승하차 인원 정보 2026년 5월
jamsil,잠실,업무·관광·쇼핑·레저가 결합된 대형 복합 상권,346781,,잠실역 2호선 4779331,리테일|엔터테인먼트|F&B|레저,7,False,,서울시 버스노선별 정류장별 시간대별 승하차 인원 정보 2026년 5월
seoul-station,서울역,KTX·공항철도·지하철이 집결된 전국 단위 교통 허브,179975,,서울역 1호선 4237363; 서울역 4호선 1056804,여행|금융|리테일|공공캠페인,7|13,False,남대문경찰서.서울역10번출구 19185,서울시 버스노선별 정류장별 시간대별 승하차 인원 정보 2026년 5월
mapo,마포/공덕,대기업 사옥과 업무시설이 밀집한 안정적 오피스 상권,247807,,마포역 5호선 844955,B2B|금융|F&B|생활서비스,7,False,,서울시 버스노선별 정류장별 시간대별 승하차 인원 정보 2026년 5월
other-national,전국 생활권,"아파트, 오피스, 편의점, 대학교 등 생활 접점 중심의 전국 커버리지",,,,생활서비스|F&B|교육|앱|리테일,14,True,,
